kernel,time_us,status,metric,timing,shape,hardware,framework,date,raw_result
aten_abs,232.608,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_abs torch_resident_us=232.608 timing=sync_wall shape='N=4194304'
aten_acos,225.344,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_acos torch_resident_us=225.344 timing=sync_wall shape='N=4194304'
aten_acosh,413.536,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_acosh torch_resident_us=413.536 timing=sync_wall shape='N=4194304'
aten_adaptive_avg_pool2d,408.768,PASS,torch_resident_us,sync_wall,B=4_C=32_H=256_W=256_OH=128_OW=128,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_adaptive_avg_pool2d torch_resident_us=408.768 timing=sync_wall shape='B=4_C=32_H=256_W=256_OH=128_OW=128'
aten_adaptive_avg_pool2d_backward_cpu,97.856,PASS,torch_resident_us,sync_wall,B=1_C=2_I0=6_O0=3_I1=7_O1=3,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_adaptive_avg_pool2d_backward_cpu torch_resident_us=97.856 timing=sync_wall shape='B=1_C=2_I0=6_O0=3_I1=7_O1=3'
aten_adaptive_avg_pool3d,66.144,PASS,torch_resident_us,sync_wall,B=2_C=3_D=8_H=8_W=8,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_adaptive_avg_pool3d torch_resident_us=66.144 timing=sync_wall shape='B=2_C=3_D=8_H=8_W=8'
aten_adaptive_avg_pool3d_backward_cpu,102.272,PASS,torch_resident_us,sync_wall,B=1_C=2_I0=6_O0=3_I1=7_O1=3_I2=8_O2=3,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_adaptive_avg_pool3d_backward_cpu torch_resident_us=102.272 timing=sync_wall shape='B=1_C=2_I0=6_O0=3_I1=7_O1=3_I2=8_O2=3'
aten_adaptive_max_pool2d_backward_cpu,95.808,PASS,torch_resident_us,sync_wall,B=1_C=2_I0=6_O0=3_I1=7_O1=3,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_adaptive_max_pool2d_backward_cpu torch_resident_us=95.808 timing=sync_wall shape='B=1_C=2_I0=6_O0=3_I1=7_O1=3'
aten_add,318.560,PASS,torch_resident_us,sync_wall,B=11_C=46_H=92_W=92,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_add torch_resident_us=318.560 timing=sync_wall shape='B=11_C=46_H=92_W=92'
aten_add_clamp,578.272,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_add_clamp torch_resident_us=578.272 timing=sync_wall shape='N=4194304'
